HDU,Body,"Usuarios afectados","Estado HDU",Desarrollador,Defecto,Prioridad,"Source Folder",ID_HDU
"Selección de plan y registro de empresa","<p><strong>Criterio de aceptación 1: Selección de Plan</strong></p><ul><li><p><strong>Dado</strong>: que quiero contratar un plan</p></li><li><p><strong>Cuando</strong>: ingreso a la landing page</p></li><li><p><strong>Entonces</strong>: se despliegan los tres planes para seleccionar uno</p></li></ul><p></p><p><strong>Criterio de aceptación 2: Registro de Empresa y Administrador</strong></p><ul><li><p><strong>Dado</strong>: que seleccioné un plan</p></li><li><p><strong>Cuando</strong>: ingreso al formulario de registro</p></li><li><p><strong>Entonces</strong>: se despliega formulario con los campos:</p></li></ul><ul><li><p>Nombre de la empresa</p></li><li><p>Nombre del administrador</p></li><li><p>Apellido del administrador</p></li><li><p>Correo electrónico del administrador</p></li></ul><p></p><p><strong>Consideraciones técnicas:</strong></p><ul><li><p>Validar que todos los campos sean obligatorios.</p></li><li><p>El correo debe tener formato válido.</p></li></ul><p></p>",Visitor,"En Certificacion",,,Alta,"User Stories",115
"Recuperación de contraseña","<p><strong>Como</strong> usuario de la plataforma<br><strong>Quiero</strong> recuperar mi contraseña en caso de olvido<br><strong>Para</strong> poder acceder nuevamente al sistema sin perder mi cuenta</p><h2>Criterio de aceptación 1: Recuperar contraseña</h2><p>Dado: que olvidé mi contraseña<br>Cuando: ingreso a la opción “Olvidé mi contraseña”<br>Entonces: se despliega un formulario para ingresar mi correo y recibir un enlace seguro de recuperación</p><h2>Consideraciones técnicas</h2><ul><li><p>Validar formato correcto del correo</p></li><li><p>Generar token único con tiempo de expiración</p></li><li><p>Enviar correo con enlace seguro</p></li><li><p>Registrar fecha/hora de solicitud y de cambio de contraseña</p></li></ul><p></p>","Admin, Gerente de proyecto, Colaborador","Lista para QA",,,Media,"User Stories",121
"Autenticación de usuario","<p><strong>Criterio de aceptación 1: Login válido</strong></p><ul><li><p><strong>Dado</strong> que un usuario tiene cuenta activa</p></li><li><p><strong>Cuando</strong> ingresa correo y contraseña correctos</p></li><li><p><strong>Entonces</strong> debería acceder al sistema y ver su panel correspondiente.</p></li></ul><p><strong>Criterio de aceptación 2: Login inválido</strong></p><ul><li><p><strong>Dado</strong> que un usuario intenta autenticarse</p></li><li><p><strong>Cuando</strong> ingresa credenciales incorrectas</p></li><li><p><strong>Entonces</strong> debería mostrarse mensaje de error sin permitir acceso.</p></li></ul><p></p>","Admin, Gerente de proyecto, Colaborador","En Certificacion",,,Alta,"User Stories",117
"Gestión de roles y permisos","<p><strong>Como</strong> SuperAdmin<br><strong>Quiero</strong> asignar roles y permisos a usuarios internos<br><strong>Para</strong> controlar qué funcionalidades puede usar cada perfil</p><h2>Criterio de aceptación 1: Asignar roles</h2><p>Dado: que quiero gestionar accesos<br>Cuando: ingreso al panel de roles<br>Entonces: se despliega listado de usuarios con opción de asignar rol (SuperAdmin, Admin, Colaborador, Cliente)</p><h2>Consideraciones técnicas</h2><ul><li><p>Validar que cada rol tenga permisos predefinidos</p></li><li><p>Registrar fecha/hora y usuario que asignó el rol</p></li><li><p>No permitir duplicidad de roles en un mismo usuario</p></li></ul><p></p>",Superadmin,"En Certificacion",,,Alta,"User Stories",122
"Cierre de sesión","<p><strong>Criterio de aceptación 1: Logout exitoso</strong></p><ul><li><p><strong>Dado</strong> que un usuario está autenticado</p></li><li><p><strong>Cuando</strong> selecciona la opción “Cerrar sesión”</p></li><li><p><strong>Entonces</strong> debería terminar la sesión y redirigir a la pantalla de login.</p></li></ul><p></p><p><strong>Criterio de aceptación 2: Seguridad post-logout</strong></p><ul><li><p><strong>Dado</strong> que un usuario cerró sesión</p></li><li><p><strong>Cuando</strong> intenta acceder a una URL interna</p></li><li><p><strong>Entonces</strong> debería redirigirse nuevamente al login.</p></li></ul><p></p>","Admin, Gerente de proyecto, Colaborador","En Certificacion",,,Alta,"User Stories",118
"Notificaciones internas","<p><strong>Como</strong> administrador<br><strong>Quiero</strong> recibir notificaciones dentro de la plataforma<br><strong>Para</strong> estar al tanto de cambios de estado, pagos y métricas</p><h2>Criterio de aceptación 1: Bandeja de notificaciones</h2><p>Dado: que ocurren eventos relevantes<br>Cuando: ingreso a la plataforma<br>Entonces: se despliega un ícono con notificaciones pendientes</p><h2>Consideraciones técnicas</h2><ul><li><p>Notificaciones en tiempo real</p></li><li><p>No deben ser editables</p></li><li><p>Registrar fecha/hora de cada notificación</p></li></ul><p></p>","Admin, Gerente de proyecto, Colaborador","Lista para QA",,,Baja,"User Stories",123
"Cambio de contraseña","<p><strong>Criterio de aceptación 1: Cambio válido</strong></p><ul><li><p><strong>Dado</strong> que un usuario autenticado solicita cambiar su contraseña</p></li><li><p><strong>Cuando</strong> ingresa la contraseña actual y una nueva válida</p></li><li><p><strong>Entonces</strong> debería actualizarse la contraseña y mostrarse mensaje de confirmación.</p></li></ul><p></p><p><strong>Criterio de aceptación 2: Validación de nueva contraseña</strong></p><ul><li><p><strong>Dado</strong> que un usuario intenta cambiar su contraseña</p></li><li><p><strong>Cuando</strong> ingresa una nueva que no cumple requisitos (ej. longitud mínima, complejidad)</p></li><li><p><strong>Entonces</strong> debería mostrarse mensaje de error y no permitir el cambio.</p></li></ul><p></p>",,"En Certificacion",,,Alta,"User Stories",119
"Gestión de CV transformados","<p><strong>Como</strong> cliente<br><strong>Quiero</strong> consultar historial de CV transformados<br><strong>Para</strong> tener control sobre los documentos enviados y recibidos</p><h2>Criterio de aceptación 1: Historial de CV</h2><p>Dado: que he transformado CVs<br>Cuando: ingreso al módulo de historial<br>Entonces: se despliega listado con fecha, estado y opción de descarga</p><h2>Consideraciones técnicas</h2><ul><li><p>Registrar fecha/hora de cada transformación</p></li><li><p>Estado: procesado, pendiente, error</p></li><li><p>Opción de descarga en formato estándar</p></li></ul><p></p>","Admin, Gerente de proyecto","Lista para QA",,,Alta,"User Stories",124
"Configuración de empresa","<p><strong>Como</strong> administrador de empresa<br><strong>Quiero</strong> actualizar datos generales de mi empresa<br><strong>Para</strong> mantener la información corporativa al día</p><h2>Criterio de aceptación 1: Editar datos de empresa</h2><p>Dado: que quiero modificar información<br>Cuando: ingreso al panel de configuración de empresa<br>Entonces: se despliega formulario con campos: nombre, descripción, logo, URL BD</p><h2>Consideraciones técnicas</h2><ul><li><p>Validar formato correcto de logo y URL</p></li><li><p>Registrar fecha/hora y usuario que realizó el cambio</p></li><li><p>No permitir duplicados de nombre de empresa</p></li></ul><p></p>",Admin,"Lista para QA",,,Alta,"User Stories",125
"Transformar CV","<p><strong>Como</strong> cliente de la plataforma<br><strong>Quiero</strong> subir mi archivo de CV en formato Word o PDF y transformarlo con un clic<br><strong>Para</strong> obtener un CV estandarizado según la estructura definida por transforCV</p><h2>Criterio de aceptación 1: Subir archivo de CV</h2><p>Dado: que quiero transformar mi CV<br>Cuando: ingreso al panel de transformación y selecciono un archivo Word o PDF<br>Entonces: se valida que el archivo tenga una estructura básica de CV (datos personales, experiencia, educación) y se habilita el botón de transformación</p><h2>Criterio de aceptación 2: Transformar CV</h2><p>Dado: que he subido un archivo válido<br>Cuando: hago clic en el botón “Transformar CV”<br>Entonces: el sistema procesa el archivo y genera un CV transformado en el formato estándar de la plataforma</p><h2>Consideraciones técnicas</h2><ul><li><p>Validar que el archivo sea <strong>Word (.docx) o PDF</strong></p></li><li><p>Validar estructura mínima de CV antes de permitir la transformación</p></li><li><p>Mostrar mensaje de error si el archivo no cumple requisitos</p></li><li><p>Registrar fecha/hora de la transformación y el cliente que la ejecutó</p></li><li><p>Permitir descarga del CV transformado en formato estándar (ej. PDF)</p></li><li><p>Mantener historial de CVs transformados por cliente</p></li></ul><p></p>","Admin, Gerente de proyecto, Colaborador","Lista para QA",,,Alta,"User Stories",126
